year;Receipts;Outlays
2000;2’030’000.00;1’790’000.00
2001;1’990’000.00;1’860’000.00
2002;1’850’000.00;2’010’000.00
2003;1’780’000.00;2’160’000.00
2004;1’880’000.00;2’290’000.00
2005;2’150’000.00;2’470’000.00
2006;2’410’000.00;2’660’000.00
2007;2’570’000.00;2’730’000.00
2008;2’520’000.00;2’980’000.00
2009;2’100’000.00;3’520’000.00
2010;2’160’000.00;3’460’000.00
2011;2’300’000.00;3’600’000.00
2012;2’450’000.00;3’540’000.00
2013;2’780’000.00;3’450’000.00
2014;3’020’000.00;3’510’000.00
2015;3’250’000.00;3’690’000.00
2016;3’270’000.00;3’850’000.00
2017;3’320’000.00;3’980’000.00
2018;3’330’000.00;4’110’000.00
2019;3’460’000.00;4’450’000.00
2020;3’420’000.00;6’550’000.00
2021;4’050’000.00;6’820’000.00
2022;4’900’000.00;6’270’000.00
2023;4’800’000.00;6’370’000.00
2024;5’040’000.00;6’880’000.00
2025;5’420’000.00;7’090’000.00
2026;5’770’000.00;7’290’000.00
2027;6’080’000.00;7’590’000.00
2028;6’400’000.00;8’000’000
